"ParticipantNum","density","NumAgents","FollowPercentage"
1,"LowDensity",1,42.2222222222222
2,"LowDensity",1,41.025641025641
3,"LowDensity",1,74.1935483870968
4,"LowDensity",1,48.4848484848485
5,"LowDensity",1,64.2857142857143
6,"LowDensity",1,66.6666666666667
7,"LowDensity",1,37.5
8,"LowDensity",1,59.375
9,"LowDensity",1,35.2941176470588
10,"LowDensity",1,53.5714285714286
11,"LowDensity",1,85.7142857142857
12,"LowDensity",1,46.6666666666667
13,"LowDensity",1,62.0689655172414
14,"LowDensity",1,50
15,"LowDensity",1,87.8787878787879
16,"LowDensity",1,47.3684210526316
17,"LowDensity",1,47.3684210526316
18,"LowDensity",1,41.6666666666667
19,"LowDensity",1,61.5384615384615
20,"LowDensity",1,64.8648648648649
21,"LowDensity",1,44.8275862068966
22,"LowDensity",1,60
23,"LowDensity",1,60
24,"LowDensity",1,48.4848484848485
25,"LowDensity",1,46.1538461538462
26,"LowDensity",1,54.5454545454545
27,"LowDensity",1,80.7692307692308
28,"LowDensity",1,50
29,"LowDensity",1,60.5263157894737
30,"LowDensity",1,50
31,"LowDensity",1,72.972972972973
32,"LowDensity",1,50
33,"LowDensity",1,68.5714285714286
34,"LowDensity",1,53.6585365853659
35,"LowDensity",1,54.5454545454545
36,"LowDensity",1,53.3333333333333
37,"LowDensity",1,31.0344827586207
38,"LowDensity",1,40
39,"LowDensity",1,63.6363636363636
40,"LowDensity",1,51.5151515151515
41,"LowDensity",1,40.625
42,"LowDensity",1,64.2857142857143
43,"LowDensity",1,68.75
44,"LowDensity",1,50
45,"LowDensity",1,57.5
46,"LowDensity",1,46.1538461538462
47,"LowDensity",1,53.8461538461538
48,"LowDensity",1,40.625
49,"LowDensity",1,57.6923076923077
50,"LowDensity",1,40.625
51,"LowDensity",1,50
52,"LowDensity",1,45.1612903225806
53,"LowDensity",1,83.8709677419355
54,"LowDensity",1,42.3076923076923
55,"LowDensity",1,51.7241379310345
56,"LowDensity",1,43.75
57,"LowDensity",1,48.5714285714286
58,"LowDensity",1,51.6129032258064
59,"LowDensity",1,58.0645161290323
60,"LowDensity",1,35.4838709677419
61,"LowDensity",1,44
62,"LowDensity",1,40.7407407407407
63,"LowDensity",1,61.5384615384615
64,"LowDensity",1,41.1764705882353
65,"LowDensity",1,60.9756097560976
66,"LowDensity",1,75.7575757575758
67,"LowDensity",1,53.8461538461538
68,"LowDensity",1,41.9354838709677
69,"LowDensity",1,43.75
70,"LowDensity",1,60.8695652173913
71,"LowDensity",1,41.6666666666667
72,"LowDensity",1,34.375
73,"LowDensity",1,46.875
74,"LowDensity",1,45.1612903225806
75,"LowDensity",1,51.8518518518518
76,"LowDensity",1,51.4285714285714
77,"LowDensity",1,50
78,"LowDensity",1,45.4545454545455
79,"LowDensity",1,62.5
80,"LowDensity",1,39.1304347826087
81,"LowDensity",1,31.8181818181818
82,"LowDensity",1,52.6315789473684
83,"LowDensity",1,52.1739130434783
84,"LowDensity",1,76.1904761904762
85,"LowDensity",1,48.1481481481481
86,"LowDensity",1,63.8888888888889
87,"LowDensity",1,64.8648648648649
88,"LowDensity",1,57.8947368421053
89,"LowDensity",1,47.0588235294118
90,"LowDensity",1,44.8275862068966
91,"LowDensity",1,48.4848484848485
92,"LowDensity",1,60.9756097560976
93,"LowDensity",1,48.6486486486487
94,"LowDensity",1,51.8518518518518
95,"LowDensity",1,56
96,"LowDensity",1,53.3333333333333
97,"LowDensity",1,45.4545454545455
98,"LowDensity",1,81.25
99,"LowDensity",1,61.7647058823529
100,"LowDensity",1,57.1428571428571
101,"LowDensity",1,66.6666666666667
102,"LowDensity",1,54.5454545454545
103,"LowDensity",1,43.75
104,"LowDensity",1,56.6666666666667
105,"LowDensity",1,44.4444444444444
106,"LowDensity",1,50
107,"LowDensity",1,53.125
108,"LowDensity",1,53.3333333333333
109,"LowDensity",1,45.1612903225806
110,"LowDensity",1,52.1739130434783
111,"LowDensity",1,61.7647058823529
112,"LowDensity",1,45.8333333333333
113,"LowDensity",1,51.7241379310345
114,"LowDensity",1,67.6470588235294
115,"LowDensity",1,56.7567567567568
116,"LowDensity",1,46.875
117,"LowDensity",1,38.8888888888889
118,"LowDensity",1,42.3076923076923
119,"LowDensity",1,45.1612903225806
120,"LowDensity",1,38.4615384615385
121,"LowDensity",1,58.8235294117647
122,"LowDensity",1,43.5897435897436
123,"LowDensity",1,40
124,"LowDensity",1,50
125,"LowDensity",1,48.4848484848485
126,"LowDensity",1,48.5714285714286
127,"LowDensity",1,55.5555555555556
128,"LowDensity",1,41.4634146341463
129,"LowDensity",1,55.5555555555556
130,"LowDensity",1,57.1428571428571
131,"LowDensity",1,32.3529411764706
132,"LowDensity",1,60.7142857142857
133,"LowDensity",1,52.9411764705882
134,"LowDensity",1,90.9090909090909
135,"LowDensity",1,42.8571428571429
136,"LowDensity",1,50
137,"LowDensity",1,47.3684210526316
138,"LowDensity",1,26.9230769230769
139,"LowDensity",1,48.7179487179487
140,"LowDensity",1,57.1428571428571
141,"LowDensity",1,46.3414634146341
