"ParticipantNum","density","NumAgents","FollowPercentage"
1,"LowDensity",1,48.6486486486487
2,"LowDensity",1,73.6842105263158
3,"LowDensity",1,71.1111111111111
4,"LowDensity",1,68.5714285714286
5,"LowDensity",1,51.1111111111111
6,"LowDensity",1,9.09090909090909
7,"LowDensity",1,47.5
8,"LowDensity",1,59.6153846153846
9,"LowDensity",1,35
10,"LowDensity",1,45.2380952380952
1,"LowDensity",2,39.5833333333333
2,"LowDensity",2,54.0540540540541
3,"LowDensity",2,72.972972972973
4,"LowDensity",2,62.5
5,"LowDensity",2,42.1052631578947
6,"LowDensity",2,25
7,"LowDensity",2,38
8,"LowDensity",2,64.4444444444444
9,"LowDensity",2,42.3076923076923
10,"LowDensity",2,41.4634146341463
1,"LowDensity",3,52.3809523809524
2,"LowDensity",3,42.2222222222222
3,"LowDensity",3,91.1764705882353
4,"LowDensity",3,54.3478260869565
5,"LowDensity",3,43.1818181818182
6,"LowDensity",3,21.5686274509804
7,"LowDensity",3,60
8,"LowDensity",3,66.6666666666667
9,"LowDensity",3,64.5161290322581
10,"LowDensity",3,50
1,"HighDensity",1,38.2352941176471
2,"HighDensity",1,41.6666666666667
3,"HighDensity",1,71.7948717948718
4,"HighDensity",1,62.5
5,"HighDensity",1,50
6,"HighDensity",1,14.6341463414634
7,"HighDensity",1,45.6521739130435
8,"HighDensity",1,55.8139534883721
9,"HighDensity",1,43.75
10,"HighDensity",1,58.1395348837209
1,"HighDensity",2,73.6842105263158
2,"HighDensity",2,43.2432432432432
3,"HighDensity",2,90.3846153846154
4,"HighDensity",2,78.7234042553192
5,"HighDensity",2,45.7142857142857
6,"HighDensity",2,5.88235294117647
7,"HighDensity",2,46.6666666666667
8,"HighDensity",2,46.8085106382979
9,"HighDensity",2,72
10,"HighDensity",2,73.5294117647059
1,"HighDensity",3,44.8979591836735
2,"HighDensity",3,57.1428571428571
3,"HighDensity",3,87.5
4,"HighDensity",3,76.6666666666667
5,"HighDensity",3,48.4848484848485
6,"HighDensity",3,10.8695652173913
7,"HighDensity",3,42.5
8,"HighDensity",3,59.4594594594595
9,"HighDensity",3,42.8571428571429
10,"HighDensity",3,84.2105263157895
