"ParticipantNum","groupSize","NumAgents","FollowPercentage"
1,"SmallGroup",1,64.7058823529412
2,"SmallGroup",1,28
3,"SmallGroup",1,46.6666666666667
4,"SmallGroup",1,45.1612903225806
5,"SmallGroup",1,48
6,"SmallGroup",1,53.3333333333333
7,"SmallGroup",1,36.8421052631579
8,"SmallGroup",1,34.375
9,"SmallGroup",1,51.4285714285714
10,"SmallGroup",1,52.9411764705882
11,"SmallGroup",1,62
12,"SmallGroup",1,51.7241379310345
13,"SmallGroup",1,54.0540540540541
14,"SmallGroup",1,94.4444444444444
15,"SmallGroup",1,30.3030303030303
16,"SmallGroup",1,48.6486486486487
17,"SmallGroup",1,57.5757575757576
18,"SmallGroup",1,48.4848484848485
19,"SmallGroup",1,36.6666666666667
20,"SmallGroup",1,76.6666666666667
21,"SmallGroup",1,30.5555555555556
22,"SmallGroup",1,40
23,"SmallGroup",1,63.1578947368421
24,"SmallGroup",1,96.1538461538462
25,"SmallGroup",1,46.6666666666667
26,"SmallGroup",1,53.125
27,"SmallGroup",1,64.7058823529412
28,"SmallGroup",1,60.7142857142857
29,"SmallGroup",1,56.25
30,"SmallGroup",1,48.4848484848485
31,"SmallGroup",1,44.1176470588235
32,"SmallGroup",1,62.0689655172414
33,"SmallGroup",1,45.945945945946
34,"SmallGroup",1,66.6666666666667
35,"SmallGroup",1,53.8461538461538
36,"SmallGroup",1,51.3513513513513
37,"SmallGroup",1,45.8333333333333
38,"SmallGroup",1,52.3809523809524
39,"SmallGroup",1,43.75
40,"SmallGroup",1,43.3333333333333
41,"SmallGroup",1,42.8571428571429
42,"SmallGroup",1,38.7096774193548
43,"SmallGroup",1,46.875
44,"SmallGroup",1,48.7179487179487
45,"SmallGroup",1,54.5454545454545
46,"SmallGroup",1,43.3333333333333
47,"SmallGroup",1,39.3939393939394
48,"SmallGroup",1,51.6129032258064
49,"SmallGroup",1,61.9047619047619
50,"SmallGroup",1,57.1428571428571
51,"SmallGroup",1,42.3076923076923
52,"SmallGroup",1,90.625
53,"SmallGroup",1,67.6470588235294
54,"SmallGroup",1,57.5757575757576
55,"SmallGroup",1,60
56,"SmallGroup",1,41.1764705882353
57,"SmallGroup",1,64.2857142857143
58,"SmallGroup",1,37.5
59,"SmallGroup",1,63.1578947368421
60,"SmallGroup",1,52.7777777777778
61,"SmallGroup",1,72.972972972973
62,"SmallGroup",1,60
63,"SmallGroup",1,60
64,"SmallGroup",1,64.8648648648649
65,"SmallGroup",1,44.4444444444444
66,"SmallGroup",1,42.1052631578947
67,"SmallGroup",1,81.8181818181818
68,"SmallGroup",1,90.3225806451613
69,"SmallGroup",1,58.3333333333333
70,"SmallGroup",1,48
71,"SmallGroup",1,45.8333333333333
72,"SmallGroup",1,57.8947368421053
73,"SmallGroup",1,60
74,"SmallGroup",1,61.7647058823529
75,"SmallGroup",1,38.7096774193548
76,"SmallGroup",1,63.6363636363636
77,"SmallGroup",1,96.2962962962963
78,"SmallGroup",1,93.3333333333333
79,"SmallGroup",1,48.3870967741936
80,"SmallGroup",1,48.5714285714286
81,"SmallGroup",1,33.3333333333333
82,"SmallGroup",1,45.8333333333333
83,"SmallGroup",1,100
84,"SmallGroup",1,56.25
85,"SmallGroup",1,43.9024390243902
86,"SmallGroup",1,46.875
87,"SmallGroup",1,45.1612903225806
